FID,place_name_mapping,place_name_gazetteer,gaz_id,altitude,feature_type_name,narrative,gazetteer,latitude,longitude,geometry,scar_common_id,country_name,country_id
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c46,"Aguja, pico","Aguja, pico",100035,,Peak,"En costa S de isla Livingston, islas Shetland del Sur. Su nombre se debe a su forma aguda y afilada. Fue cartografiado por la E.B.C.D. en 1935. En 1956 se tradujo su nombre y ese mismo año fue aceptado por la C.C.G. El topónimo figuraba en la lista que el SIHN envió en 1959 al Ministerio de Relaciones Exteriores. Fue publicado por primera vez en TSAA1. SHN carta H-711/H-712.",ARG,-62.7333,-60.1167,POINT (-60.116667 -62.733333),10127,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c47,"Aguja, roca de la","Aguja, roca de la",100036,,Rock,"En costa N de isla Elefante, islas Shetland del Sur. Descubierta y nominada por la Expedición Antártica Británica de E.Shackleton, en 1916. El topónimo es descriptivo y fue traducido del original. La C.C.G. lo oficializó en 1956. Figuró por primera vez en TSAA1. SHN carta H-710.",ARG,-61.0667,-54.7333,POINT (-54.733333 -61.066667),11297,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c48,"Ahlmann, glaciar","Ahlmann, glaciar",100037,,Glacier,Es el más austral de los glaciares que se encuentran en la ensenada Seligman. Fue fotografiado desde el aire en 1940 por una comisión de la E.S.A.E.U. que comandaba el almirante Byrd. El C.I.I.M. (F.I.D.S.) cartografió el accidente en 1947 y lo bautizó en honor del geólogo y glaciólogo suizo Hans W. Ahlmann. Figuró publicado por primera vez en la carta 110 de 1957 y en la TSAA1. SHN carta H-7.,ARG,-67.8667,-65.75,POINT (-65.75 -67.866667),124,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c49,"Ailsa Craig, isla","Ailsa Craig, isla",100038,,Island,"Situada cerca de punta Rae, frente a la costa S de isla Laurie, islas Orcadas del Sur. Fue cartografiada y denominada por la E.A.S. de W. Bruce (1902-1904) quien la encontró semejante a la isla escocesa homónima. Figuró por primera vez en la carta 31 de 1930 y en la TSAA1. SHN carta H-611.",ARG,-60.7833,-44.6167,POINT (-44.616667 -60.783333),130,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c4a,"Aitcho, islotes","Aitcho, islotes",100039,,Island,"En la boca NE del estrecho Espora. Descubiertas y denominadas por el Capitán Fildes, de Liverpool, quien visitara la zona en 1821. Fueron cartografiadas por primera vez por personal del ""DISCOVERY"" en 1935 y su nombre aparece por primera vez en una carta del Almirantazgo. SHN carta 138/H-711. Publicado primeramente en la cartografía antártica del año 1948, en la carta H-711 de 1969 y en TSAA2.",ARG,-62.3833,-59.8333,POINT (-59.833333 -62.383333),136,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c4b,"Aitken, caleta","Aitken, caleta",100040,,Cove,"Al S de isla Laurie, islas Orcadas del Sur. Fue cartografiada por la E.A.E. de W. Bruce (1903-1904). denominada en honor del secretario ejecutivo de la expedición A.N.G. Aitken. Apareció primeramente en un listado del Ministerio de Marina de 1945 y en TSAA1. SHN carta H-611.",ARG,-60.75,-44.5333,POINT (-44.533333 -60.75),137,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c4c,"Alagon, islote","Alagon, islote",100041,,Island,"En costa NW de isla Larrouy, canal Grandidier, costa W de la península Antártica. El nombre fue propuesto por la División Toponimia del S.H.N. y recuerda al soldado argentino Manuel Alagon de la Fragata ""25 DE MAYO"" que falleciera a bordo de la misma en el combate naval de Quilmes. El topónimo fue aprobado por la C.C.G. en el año 1978 y publicado en la TSAA2. SHN carta H-715.",ARG,-65.8333,-65.35,POINT (-65.35 -65.833333),159,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c4d,"Alamode, islote","Alamode, islote",100042,,Island,"En bahía Margarita, costa W de la península antártica.Fue relevada por la BGLE de Rymill en 1936 y bautizado por el FIDS por su forma parecida a un helado de ese nombre. Fue publicado en TSAA2. SHN carta H-717.",ARG,-68.7167,-67.5333,POINT (-67.533333 -68.716667),161,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c4e,"Alberti, isla","Alberti, isla",100043,,Island,"En el archipiélago Melchior. Fue cartografiada durante la C.A.A. de 1942 y llamada en forma provisoria ""Epsilon"" por la quinta letra del alfabeto griego. El topónimo actual recuerda a Manuel Alberti, sacerdote nacido en Buenos Aires el 28 de mayo de 1763 y fallecido el 2 de febrero de 1811, de destacada actuación durante los sucesos de Mayo de 1810. Aparece en la carta argentina editada en 1946 con el nombre de ""Epsilon"" basada en el relevamiento realizado por la expedición argentina de 1943/44. Su nombre provisorio fue posteriormente cambiado por el de Alberti. Publicado originariamente en TSAA1. SHN carta H-7.",ARG,-64.3167,-63,POINT (-63 -64.316667),4299,Argentina,32
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid-39228ab8_190e053e3ce_4c4f,"Albone, glaciar","Albone, glaciar",100044,,Glacier,"Fluye hacia la caleta Larsen, en la costa E de la península Antártica. Fue relevado por el FIDS en 1960-61 y bautizado en recuerdo de Dan Albone (1906-) quien diseñó el tractor Ivel, el primero con motor de combustión interna. SHN carta H-713.",ARG,-64.2,-59.75,POINT (-59.75 -64.2),176,Argentina,32
